epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,180.306,1.35271,2.83297,0.91114,1.06877,0.8627,1,0.93497,0.46819,0.68397,0.79861,0.63554,0.23371,1.56798,3.9805,1.37762,1.10948,0.000713423,0.000713423,0.000713423
31,184.935,1.33754,2.71976,0.88379,1.07093,0.88142,0.97917,0.93481,0.4992,0.77747,0.77665,0.70272,0.25658,1.50013,3.8363,1.17966,1.07021,0.000709299,0.000709299,0.000709299
32,189.622,1.30264,2.67093,0.90248,1.04946,0.88142,0.97917,0.93481,0.4992,0.77747,0.77665,0.70272,0.25658,1.50013,3.8363,1.17966,1.07021,0.000705176,0.000705176,0.000705176
33,194.13,1.31907,2.70129,0.88059,1.05816,0.82694,1,0.9437,0.52184,0.73852,0.88889,0.78954,0.30962,1.40345,3.74874,1.04979,1.04316,0.000701053,0.000701053,0.000701053
34,199.252,1.37178,2.70293,0.89854,1.03514,0.82694,1,0.9437,0.52184,0.73852,0.88889,0.78954,0.30962,1.40345,3.74874,1.04979,1.04316,0.000696929,0.000696929,0.000696929
35,206.746,1.32655,2.63476,0.89141,1.0366,0.90555,0.99306,0.94149,0.50984,0.78052,0.85417,0.763,0.28292,1.57325,3.82839,1.22069,1.11485,0.000692806,0.000692806,0.000692806
36,210.68,1.30732,2.58001,0.85694,1.05183,0.90555,0.99306,0.94149,0.50984,0.78052,0.85417,0.763,0.28292,1.57325,3.82839,1.22069,1.11485,0.000688683,0.000688683,0.000688683
37,214.701,1.33712,2.53954,0.92506,1.04631,0.8863,0.9375,0.93365,0.54823,0.76573,0.8125,0.73261,0.27342,1.46648,4.0282,1.38704,1.11969,0.000684559,0.000684559,0.000684559
38,219.637,1.31926,2.67962,0.86836,1.05678,0.8863,0.9375,0.93365,0.54823,0.76573,0.8125,0.73261,0.27342,1.46648,4.0282,1.38704,1.11969,0.000680436,0.000680436,0.000680436
39,224.615,1.30021,2.7798,0.8518,1.0409,0.84772,0.9375,0.91746,0.52527,0.75195,0.83333,0.76144,0.27124,1.49218,4.09574,1.30893,1.10999,0.000676313,0.000676313,0.000676313
40,229.248,1.29696,2.49398,0.82522,1.04238,0.84772,0.9375,0.91746,0.52527,0.75195,0.83333,0.76144,0.27124,1.49218,4.09574,1.30893,1.10999,0.000672189,0.000672189,0.000672189
41,235.616,1.33997,2.60987,0.84564,1.01921,0.82925,0.99306,0.92489,0.51477,0.70992,0.84722,0.70307,0.24185,1.64993,4.11861,1.28984,1.10335,0.000668066,0.000668066,0.000668066
42,245.503,1.25043,2.47983,0.80988,1.03162,0.82925,0.99306,0.92489,0.51477,0.70992,0.84722,0.70307,0.24185,1.64993,4.11861,1.28984,1.10335,0.000663943,0.000663943,0.000663943
43,256.534,1.22396,2.51156,0.81556,1.03829,0.85592,0.99306,0.93429,0.52366,0.72201,0.84028,0.69511,0.26034,1.58118,4.09539,1.09459,1.09229,0.000659819,0.000659819,0.000659819
44,260.483,1.21285,2.44408,0.77165,1.05814,0.85592,0.99306,0.93429,0.52366,0.72201,0.84028,0.69511,0.26034,1.58118,4.09539,1.09459,1.09229,0.000655696,0.000655696,0.000655696
45,265.848,1.29738,2.5375,0.80205,1.02804,0.90669,0.94412,0.95033,0.54345,0.77014,0.80516,0.73853,0.24048,1.45287,4.08249,1.00457,1.08426,0.000651573,0.000651573,0.000651573
46,272.463,1.20817,2.48188,0.77738,1.04801,0.90669,0.94412,0.95033,0.54345,0.77014,0.80516,0.73853,0.24048,1.45287,4.08249,1.00457,1.08426,0.000647449,0.000647449,0.000647449
47,276.11,1.25497,2.49187,0.81578,1.0007,0.90288,1,0.95461,0.53092,0.7463,0.82639,0.68363,0.22673,1.52468,4.00939,0.99255,1.07034,0.000643326,0.000643326,0.000643326
48,279.544,1.26817,2.47963,0.80047,1.03292,0.90288,1,0.95461,0.53092,0.7463,0.82639,0.68363,0.22673,1.52468,4.00939,0.99255,1.07034,0.000639203,0.000639203,0.000639203
49,283.385,1.30093,2.44202,0.80449,1.03619,0.91079,1,0.94916,0.51469,0.7711,0.84722,0.72271,0.27243,1.61697,3.88926,1.00005,1.06996,0.000635079,0.000635079,0.000635079
50,286.777,1.26672,2.41159,0.78328,1.03717,0.91079,1,0.94916,0.51469,0.7711,0.84722,0.72271,0.27243,1.61697,3.88926,1.00005,1.06996,0.000630956,0.000630956,0.000630956
51,291.895,1.30175,2.3162,0.81147,1.00896,0.90782,1,0.94703,0.50667,0.73629,0.8125,0.65841,0.27074,1.55682,3.8442,1.02451,1.07141,0.000626832,0.000626832,0.000626832
52,296.066,1.3166,2.52794,0.79994,1.04561,0.90782,1,0.94703,0.50667,0.73629,0.8125,0.65841,0.27074,1.55682,3.8442,1.02451,1.07141,0.000622709,0.000622709,0.000622709
53,300.203,1.29033,2.37498,0.78865,1.02984,0.89712,1,0.94928,0.52181,0.74726,0.83333,0.71627,0.28102,1.50595,4.01743,1.04546,1.09826,0.000618586,0.000618586,0.000618586
