epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45015,0.96459,2.35229,1.28501,0.58156,0.85,0.87795,0.63553,1.65129,1.07219,1.37772,0,0,0
2,5.32239,1.24998,3.26935,1.64555,0.58417,0.85,0.84888,0.6323,1.67042,1.05678,1.38819,1.18411e-06,1.18411e-06,1.18411e-06
3,5.97828,1.34785,3.61904,1.61108,0.58508,0.85,0.85425,0.62138,1.68605,1.0557,1.38921,2.35644e-06,2.35644e-06,2.35644e-06
4,6.61011,1.02541,2.7104,1.27449,0.57154,0.85,0.85525,0.638,1.67763,1.05011,1.37779,3.51699e-06,3.51699e-06,3.51699e-06
5,7.20464,1.32066,2.93298,1.61341,0.60955,0.93001,0.90686,0.64368,1.68209,1.05853,1.37414,4.66575e-06,4.66575e-06,4.66575e-06
6,21.6139,0.93572,2.1818,1.21581,0.55103,0.85,0.86892,0.63126,1.66353,1.05494,1.36172,5.80274e-06,5.80274e-06,5.80274e-06
7,23.2522,1.39596,3.81417,1.74838,0.55648,0.85075,0.86013,0.61252,1.68182,1.06365,1.37036,6.92794e-06,6.92794e-06,6.92794e-06
