epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8047,1.08779,3.37333,1.444,1.05068,0.72715,0.80256,0.79664,0.50143,0.60783,0.68262,0.63957,0.25166,1.22265,3.46347,1.05811,1.03791,0.000233042,0.000233042,0.000233042
2,44.6566,1.0223,2.99301,0.80421,0.9976,0.61812,0.7373,0.79809,0.50956,0.5468,0.6246,0.63408,0.2625,1.2611,4.2617,2.55467,1.10693,0.00046871,0.00046871,0.00046871
3,69.5857,0.99025,2.89991,0.72466,0.99068,0.59944,0.78829,0.75297,0.49284,0.51469,0.70657,0.63544,0.25587,1.14958,3.46905,1.76397,1.01645,0.000702022,0.000702022,0.000702022
4,90.8448,0.9761,2.8894,0.68762,0.98016,0.73017,0.77404,0.83158,0.51044,0.70634,0.73065,0.77055,0.3172,1.31244,3.26772,1.31533,1.07122,0.000703397,0.000703397,0.000703397
5,115.855,0.96104,2.7894,0.65652,0.97096,0.78943,0.88321,0.90598,0.61625,0.73412,0.82414,0.81879,0.35957,1.03776,2.8569,0.84218,0.95306,0.000699863,0.000699863,0.000699863
6,140.668,0.92599,2.77311,0.62213,0.95816,0.72981,0.848,0.83446,0.56109,0.65871,0.72732,0.71725,0.31602,1.1422,3.2791,0.95053,0.99777,0.000696328,0.000696328,0.000696328
7,162.066,0.89064,2.70215,0.59923,0.94547,0.83467,0.87094,0.93035,0.66085,0.77992,0.82678,0.85884,0.3835,0.95023,2.60442,0.69687,0.91327,0.000692794,0.000692794,0.000692794
8,186.902,0.89101,2.68947,0.58121,0.94188,0.81189,0.88582,0.92608,0.63339,0.75975,0.8111,0.80613,0.3455,1.01826,2.82255,0.78003,0.9188,0.00068926,0.00068926,0.00068926
9,208.294,0.86261,2.61615,0.56775,0.93316,0.89383,0.92055,0.93813,0.6841,0.82936,0.86312,0.87148,0.39453,0.93558,2.66284,0.61231,0.90644,0.000685726,0.000685726,0.000685726
10,233.078,0.83537,2.59962,0.54807,0.92403,0.88925,0.90504,0.94821,0.67209,0.84123,0.85783,0.88592,0.39383,0.94268,2.67689,0.61776,0.8964,0.000682191,0.000682191,0.000682191
11,254.43,0.86663,2.62733,0.54446,0.93236,0.88284,0.88826,0.92722,0.6681,0.82647,0.84505,0.85729,0.38676,0.96915,2.73073,0.61777,0.90483,0.000678657,0.000678657,0.000678657
12,275.78,0.84346,2.57247,0.54165,0.92728,0.89312,0.8895,0.9302,0.67051,0.83763,0.83294,0.86222,0.3869,0.94693,2.63494,0.63921,0.89528,0.000675123,0.000675123,0.000675123
