epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1467,2.28292,4.45706,0.95792,0.01243,0.20588,0.00937,0.00376,1.78818,4.15554,0.8219,0.00010002,0.00010002,0.00010002
2,35.2421,1.98128,3.27388,0.86604,0.02781,0.45956,0.03138,0.01527,1.96965,3.91817,0.82092,0.000212419,0.000212419,0.000212419
3,52.7198,1.76453,1.99062,0.85807,0.02998,0.5996,0.03311,0.01767,1.37528,3.5762,0.78964,0.000320197,0.000320197,0.000320197
4,70.0003,1.815,1.70643,0.85626,0.03093,0.68683,0.03101,0.01443,1.43319,3.53942,0.80242,0.000423355,0.000423355,0.000423355
5,87.0211,1.54045,1.542,0.83863,0.02727,0.65508,0.02449,0.01306,1.46061,3.59054,0.79315,0.000521891,0.000521891,0.000521891
6,104.056,1.47859,1.51695,0.83387,0.02747,0.48429,0.03859,0.02273,1.39192,3.25403,0.7914,0.000615806,0.000615806,0.000615806
7,121.457,1.3781,1.36579,0.81734,0.03056,0.53209,0.12942,0.08444,1.27452,3.05907,0.79148,0.000705101,0.000705101,0.000705101
8,138.715,1.4202,1.33975,0.84343,0.03373,0.61798,0.40254,0.2329,1.58449,2.97471,0.83754,0.000789775,0.000789775,0.000789775
9,155.824,1.38574,1.30855,0.83333,0.03599,0.67814,0.48224,0.29279,1.41972,2.81711,0.8171,0.000869827,0.000869827,0.000869827
10,173.039,1.30555,1.22916,0.81227,0.03853,0.90909,0.48536,0.30185,1.30948,2.57318,0.80602,0.000945259,0.000945259,0.000945259
11,190.367,1.29713,1.13051,0.83141,0.48873,0.31892,0.5061,0.3368,1.23754,2.20257,0.80194,0.00101607,0.00101607,0.00101607
12,207.713,1.22117,1.16101,0.81825,0.46285,0.36649,0.50824,0.33958,1.21842,1.90956,0.80777,0.00108226,0.00108226,0.00108226
13,224.846,1.18564,1.12821,0.82628,0.96572,0.29972,0.52665,0.35973,1.11102,2.05647,0.79358,0.00114383,0.00114383,0.00114383
