epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,171.407,1.30809,2.57424,0.84368,1.05037,0.8417,1,0.96796,0.53907,0.75579,0.89583,0.8176,0.32888,1.43483,4.24469,1.11445,1.04473,0.000713423,0.000713423,0.000713423
31,176.917,1.23461,2.46513,0.82231,1.04151,0.91234,1,0.97436,0.54727,0.80449,0.88194,0.80126,0.31537,1.4853,4.0866,1.03995,1.0685,0.000709299,0.000709299,0.000709299
32,180.629,1.23091,2.4913,0.85725,1.02858,0.91234,1,0.97436,0.54727,0.80449,0.88194,0.80126,0.31537,1.4853,4.0866,1.03995,1.0685,0.000705176,0.000705176,0.000705176
33,183.857,1.28693,2.53184,0.83914,1.05075,0.85178,1,0.95736,0.51169,0.77424,0.91667,0.80342,0.32554,1.45883,3.9019,0.99698,1.05678,0.000701053,0.000701053,0.000701053
34,187.865,1.33465,2.40866,0.85894,1.03039,0.85178,1,0.95736,0.51169,0.77424,0.91667,0.80342,0.32554,1.45883,3.9019,0.99698,1.05678,0.000696929,0.000696929,0.000696929
35,191.628,1.28915,2.34113,0.83681,1.02897,0.7521,1,0.9631,0.50917,0.64998,0.85417,0.77269,0.28452,1.59368,4.0017,1.1791,1.04522,0.000692806,0.000692806,0.000692806
36,196.055,1.25478,2.41388,0.82966,1.03516,0.7521,1,0.9631,0.50917,0.64998,0.85417,0.77269,0.28452,1.59368,4.0017,1.1791,1.04522,0.000688683,0.000688683,0.000688683
37,200.185,1.25425,2.46872,0.85024,1.02406,0.77587,1,0.97526,0.5332,0.64781,0.83333,0.7377,0.29188,1.61425,4.00099,1.1295,1.04337,0.000684559,0.000684559,0.000684559
38,204.057,1.25207,2.49785,0.80138,1.03689,0.77587,1,0.97526,0.5332,0.64781,0.83333,0.7377,0.29188,1.61425,4.00099,1.1295,1.04337,0.000680436,0.000680436,0.000680436
39,209.069,1.24064,2.58548,0.80068,1.01316,0.89663,0.97917,0.97111,0.55543,0.77541,0.84722,0.76748,0.32552,1.5032,4.16961,0.97265,1.03661,0.000676313,0.000676313,0.000676313
40,213.743,1.24792,2.35699,0.7882,1.02247,0.89663,0.97917,0.97111,0.55543,0.77541,0.84722,0.76748,0.32552,1.5032,4.16961,0.97265,1.03661,0.000672189,0.000672189,0.000672189
41,219.226,1.27855,2.42629,0.80645,1.00138,0.8856,1,0.97455,0.54459,0.80181,0.90278,0.83736,0.31826,1.51742,4.63894,1.0923,1.06976,0.000668066,0.000668066,0.000668066
42,223.175,1.18673,2.29561,0.77481,1.01737,0.8856,1,0.97455,0.54459,0.80181,0.90278,0.83736,0.31826,1.51742,4.63894,1.0923,1.06976,0.000663943,0.000663943,0.000663943
43,228.227,1.19982,2.35752,0.78386,1.03606,0.82006,0.98399,0.93806,0.46861,0.608,0.73334,0.60642,0.22673,1.82171,4.42779,1.22348,1.11141,0.000659819,0.000659819,0.000659819
44,233.068,1.19417,2.29045,0.76774,1.04961,0.82006,0.98399,0.93806,0.46861,0.608,0.73334,0.60642,0.22673,1.82171,4.42779,1.22348,1.11141,0.000655696,0.000655696,0.000655696
45,236.47,1.26406,2.34391,0.78145,1.01524,0.84004,1,0.97123,0.50999,0.67417,0.80556,0.68029,0.26601,1.61761,4.10452,1.05725,1.07861,0.000651573,0.000651573,0.000651573
46,240.494,1.18414,2.32207,0.76256,1.03768,0.84004,1,0.97123,0.50999,0.67417,0.80556,0.68029,0.26601,1.61761,4.10452,1.05725,1.07861,0.000647449,0.000647449,0.000647449
47,244.29,1.21901,2.29763,0.8035,0.99292,0.9173,0.98482,0.97357,0.52303,0.77505,0.83235,0.73898,0.31379,1.46589,3.97552,0.92406,1.07081,0.000643326,0.000643326,0.000643326
48,248.539,1.18956,2.29917,0.75567,1.02105,0.9173,0.98482,0.97357,0.52303,0.77505,0.83235,0.73898,0.31379,1.46589,3.97552,0.92406,1.07081,0.000639203,0.000639203,0.000639203
49,252.051,1.20776,2.27884,0.74131,1.01428,0.91387,1,0.97001,0.5485,0.79357,0.86806,0.78198,0.33791,1.43695,3.93129,0.93187,1.04121,0.000635079,0.000635079,0.000635079
50,258.19,1.21933,2.25954,0.7374,1.01414,0.91387,1,0.97001,0.5485,0.79357,0.86806,0.78198,0.33791,1.43695,3.93129,0.93187,1.04121,0.000630956,0.000630956,0.000630956
51,263.371,1.26466,2.2013,0.75679,1.00511,0.91503,1,0.97108,0.56051,0.79387,0.86806,0.77395,0.33189,1.38514,3.89112,0.94336,1.05673,0.000626832,0.000626832,0.000626832
52,268.97,1.23783,2.39324,0.76779,1.03933,0.91503,1,0.97108,0.56051,0.79387,0.86806,0.77395,0.33189,1.38514,3.89112,0.94336,1.05673,0.000622709,0.000622709,0.000622709
53,274.104,1.20651,2.21923,0.74521,1.00298,0.86737,1,0.97243,0.56805,0.72738,0.84028,0.72845,0.30791,1.43911,3.87238,0.94409,1.0606,0.000618586,0.000618586,0.000618586
54,278.104,1.21518,2.27422,0.76365,1.00796,0.86737,1,0.97243,0.56805,0.72738,0.84028,0.72845,0.30791,1.43911,3.87238,0.94409,1.0606,0.000614462,0.000614462,0.000614462
55,281.478,1.20307,2.21455,0.74407,1.02216,0.91247,1,0.97202,0.54951,0.77371,0.84722,0.73437,0.27906,1.47942,3.94716,0.97202,1.04835,0.000610339,0.000610339,0.000610339
56,284.795,1.23677,2.32629,0.74358,1.01588,0.91247,1,0.97202,0.54951,0.77371,0.84722,0.73437,0.27906,1.47942,3.94716,0.97202,1.04835,0.000606216,0.000606216,0.000606216
