epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,219.41,1.25259,0.88801,1.04315,0.81179,0.88262,0.92018,0.49075,1.61401,0.90686,1.09997,0.000663943,0.000663943,0.000663943
43,223.345,1.24979,0.88545,1.03517,0.86046,0.85477,0.92528,0.51026,1.57018,0.90583,1.08552,0.000659819,0.000659819,0.000659819
44,229.584,1.22255,0.84692,1.02264,0.87184,0.86988,0.93174,0.51563,1.54682,0.89392,1.08134,0.000655696,0.000655696,0.000655696
45,236.184,1.21575,0.80035,1.00675,0.8789,0.83985,0.88421,0.50228,1.56016,0.88847,1.09574,0.000651573,0.000651573,0.000651573
46,240.102,1.19693,0.79645,1.01311,0.8789,0.83985,0.88421,0.50228,1.56016,0.88847,1.09574,0.000647449,0.000647449,0.000647449
47,244.007,1.17776,0.75745,0.97819,0.84275,0.82131,0.8434,0.48427,1.60135,0.90134,1.11198,0.000643326,0.000643326,0.000643326
48,248.357,1.25471,0.86642,1.03998,0.81333,0.84953,0.85515,0.45879,1.61657,0.94625,1.12993,0.000639203,0.000639203,0.000639203
49,252.136,1.24508,0.79797,1.01143,0.74107,0.82236,0.78717,0.39817,1.71516,1.03145,1.17646,0.000635079,0.000635079,0.000635079
50,256.954,1.24896,0.86729,1.03708,0.77132,0.79661,0.80681,0.41191,1.74019,1.06219,1.17365,0.000630956,0.000630956,0.000630956
51,261.307,1.2184,0.80903,1.00972,0.8287,0.82268,0.87202,0.45759,1.68322,0.96083,1.12715,0.000626832,0.000626832,0.000626832
52,265.332,1.18746,0.77306,1.00412,0.86555,0.85094,0.90219,0.50237,1.5917,0.88305,1.09177,0.000622709,0.000622709,0.000622709
53,268.989,1.20055,0.81965,1.02063,0.89871,0.82548,0.90484,0.52388,1.54458,0.83956,1.0858,0.000618586,0.000618586,0.000618586
54,273.71,1.19608,0.77349,1.01691,0.89871,0.82548,0.90484,0.52388,1.54458,0.83956,1.0858,0.000614462,0.000614462,0.000614462
55,278.748,1.15022,0.79315,0.99189,0.89575,0.8424,0.9071,0.52128,1.57755,0.82484,1.09419,0.000610339,0.000610339,0.000610339
56,282.467,1.15955,0.76252,0.9807,0.91061,0.83499,0.91212,0.51354,1.59543,0.82785,1.10255,0.000606216,0.000606216,0.000606216
57,286.199,1.16431,0.74603,0.9947,0.92356,0.81519,0.90816,0.51402,1.57785,0.83847,1.1113,0.000602092,0.000602092,0.000602092
58,289.998,1.16424,0.76737,1.01588,0.92912,0.82267,0.91934,0.51662,1.5503,0.83266,1.10479,0.000597969,0.000597969,0.000597969
59,295.241,1.17694,0.78462,1.03673,0.93004,0.82822,0.92459,0.52052,1.54106,0.83433,1.09573,0.000593846,0.000593846,0.000593846
60,301.741,1.12967,0.73043,0.97785,0.89393,0.85156,0.92239,0.52251,1.52719,0.80826,1.09104,0.000589722,0.000589722,0.000589722
61,308.778,1.11787,0.71662,0.96831,0.85773,0.8966,0.91676,0.52406,1.5132,0.80373,1.07792,0.000585599,0.000585599,0.000585599
62,313.56,1.15573,0.75453,1.01164,0.85773,0.8966,0.91676,0.52406,1.5132,0.80373,1.07792,0.000581476,0.000581476,0.000581476
63,318.41,1.10727,0.75437,0.99142,0.84468,0.89254,0.91429,0.53001,1.53689,0.81721,1.07695,0.000577352,0.000577352,0.000577352
64,324.72,1.10871,0.72833,0.99122,0.89505,0.84848,0.92425,0.53988,1.57413,0.83836,1.09288,0.000573229,0.000573229,0.000573229
65,330.052,1.14574,0.75219,1.01113,0.92666,0.85601,0.92778,0.53054,1.53636,0.81834,1.08022,0.000569106,0.000569106,0.000569106
66,333.881,1.13652,0.7154,0.97365,0.91315,0.86031,0.91777,0.5206,1.55185,0.81037,1.08894,0.000564982,0.000564982,0.000564982
67,337.788,1.11525,0.73147,0.98679,0.89773,0.82877,0.89563,0.49745,1.57243,0.82556,1.10196,0.000560859,0.000560859,0.000560859
68,341.525,1.08528,0.68356,0.97194,0.90411,0.84157,0.89854,0.499,1.57235,0.84121,1.09949,0.000556736,0.000556736,0.000556736
69,345.938,1.08954,0.7004,0.96498,0.91122,0.8507,0.89847,0.51645,1.56064,0.84261,1.08781,0.000552612,0.000552612,0.000552612
70,349.589,1.14773,0.71734,1.00983,0.91122,0.8507,0.89847,0.51645,1.56064,0.84261,1.08781,0.000548489,0.000548489,0.000548489
71,353.266,1.11888,0.65797,0.98333,0.91501,0.87845,0.91683,0.524,1.60039,0.86554,1.10135,0.000544365,0.000544365,0.000544365
72,356.969,1.15093,0.69571,0.9979,0.91256,0.9003,0.93103,0.53063,1.60194,0.85447,1.09776,0.000540242,0.000540242,0.000540242
73,362.15,1.09968,0.66815,0.98203,0.90999,0.89718,0.94527,0.53139,1.55497,0.83396,1.07775,0.000536119,0.000536119,0.000536119
74,365.837,1.06813,0.6521,0.96987,0.88058,0.91617,0.93677,0.5355,1.55903,0.81353,1.06747,0.000531995,0.000531995,0.000531995
75,369.706,1.09909,0.66566,0.96531,0.87979,0.90634,0.93401,0.53401,1.54697,0.78175,1.06491,0.000527872,0.000527872,0.000527872
76,373.505,1.10796,0.67591,0.98488,0.91573,0.89891,0.93461,0.52722,1.57062,0.7731,1.07829,0.000523749,0.000523749,0.000523749
