epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1979.09,0.77671,2.40798,0.52033,0.91632,0.93872,0.92785,0.96513,0.73386,0.89019,0.87882,0.91395,0.43895,0.85466,2.4184,0.51853,0.87528,0.000509011,0.000509011,0.000509011
31,2041.52,0.76217,2.36109,0.48737,0.92183,0.93591,0.92088,0.96914,0.73896,0.86545,0.89798,0.91544,0.45863,0.82778,2.34144,0.50337,0.86935,0.000501942,0.000501942,0.000501942
32,2108.9,0.75624,2.33906,0.47459,0.90309,0.92751,0.94166,0.96852,0.7413,0.88467,0.89885,0.9165,0.45879,0.81511,2.39103,0.48316,0.86754,0.000494873,0.000494873,0.000494873
33,2176.62,0.75168,2.33095,0.46377,0.901,0.93422,0.92803,0.9636,0.73681,0.88607,0.87998,0.91235,0.457,0.82958,2.38605,0.49189,0.8693,0.000487805,0.000487805,0.000487805
34,2240.61,0.75405,2.33592,0.47517,0.91445,0.92828,0.94781,0.96866,0.73722,0.87078,0.89272,0.91182,0.46355,0.82847,2.3573,0.49865,0.86706,0.000480736,0.000480736,0.000480736
35,2308.35,0.74829,2.32989,0.47308,0.9028,0.94762,0.91904,0.96922,0.73645,0.89591,0.87006,0.91284,0.448,0.85123,2.36953,0.49961,0.86865,0.000473668,0.000473668,0.000473668
36,2371.44,0.72274,2.26155,0.46204,0.8995,0.93317,0.94813,0.97274,0.74063,0.88391,0.90834,0.92269,0.47239,0.81537,2.33498,0.49666,0.85653,0.000466599,0.000466599,0.000466599
37,2440.8,0.73465,2.25855,0.46333,0.90096,0.9358,0.94093,0.97339,0.73617,0.89041,0.8993,0.92399,0.46927,0.8476,2.33206,0.50023,0.87188,0.00045953,0.00045953,0.00045953
38,2504.37,0.7439,2.21158,0.45918,0.90043,0.93871,0.94072,0.97162,0.74158,0.88663,0.89755,0.91985,0.46417,0.82787,2.33945,0.48211,0.86399,0.000452462,0.000452462,0.000452462
39,2566.83,0.73036,2.22158,0.45444,0.89209,0.94338,0.95989,0.97919,0.74281,0.88148,0.89842,0.90881,0.46128,0.83043,2.30102,0.46446,0.862,0.000445393,0.000445393,0.000445393
