epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.77286,1.46871,4.2924,3.12967,1.20514,0.73058,0.5227,0.52621,0.34268,0.68557,0.47292,0.44609,0.18213,1.19028,3.24165,2.27967,0.96015,7.14e-05,7.14e-05,7.14e-05
2,19.4298,1.17487,3.04716,1.12251,0.99164,0.8864,0.59181,0.67414,0.41854,0.80445,0.52343,0.5605,0.23291,1.22087,3.15939,1.422,1.00659,0.000149198,0.000149198,0.000149198
3,32.0168,1.14274,3.00004,0.96697,0.99506,0.54044,0.51355,0.51657,0.31237,0.6496,0.43848,0.43194,0.16021,1.41121,4.18173,3.0535,1.20866,0.000226218,0.000226218,0.000226218
4,41.652,1.25246,3.18968,0.99647,1.01678,0.13095,0.28291,0.0907,0.04918,0.07035,0.20189,0.04615,0.01529,1.58867,14.2162,inf,1.30584,0.000302461,0.000302461,0.000302461
5,51.0663,1.21003,3.01534,0.93428,1.01406,0.12509,0.04161,0.02532,0.01241,0.11678,0.02962,0.01684,0.00681,2.84427,576.315,inf,8.05079,0.000377926,0.000377926,0.000377926
6,59.8702,1.19086,2.99108,1.05695,1.05833,0.31475,0.46629,0.36101,0.21017,0.30572,0.40951,0.31988,0.12869,1.66958,409.299,14.0818,1.908,0.000452614,0.000452614,0.000452614
7,68.8311,1.15897,2.90625,0.91229,0.99547,0.36234,0.19556,0.09029,0.03982,0.37041,0.14769,0.08273,0.03279,3.07725,33.0918,inf,5.15482,0.000526524,0.000526524,0.000526524
8,78.0665,1.14393,2.8663,0.8679,1.00809,0.30005,0.12385,0.08347,0.05048,0.52364,0.09481,0.07707,0.04068,3.45893,38.3381,inf,9.44319,0.000599656,0.000599656,0.000599656
9,87.372,1.02335,2.54506,2.07011,0.90331,0.52964,0.7546,0.68961,0.34682,0.50172,0.68995,0.62066,0.19561,1.54611,4.27867,1.8086,1.24511,0.000672011,0.000672011,0.000672011
10,96.401,1.17622,2.77277,0.92701,1.01763,0.78879,0.58379,0.74843,0.41405,0.83884,0.45446,0.59689,0.22456,1.35009,3.62059,1.44236,1.08986,0.000682191,0.000682191,0.000682191
11,105.039,1.10053,2.86851,0.75361,0.98904,0.57516,0.53112,0.53483,0.31172,0.56318,0.5196,0.50149,0.17211,1.62052,3.71972,1.74005,1.27019,0.000678657,0.000678657,0.000678657
12,113.621,1.22121,3.00411,0.84045,1.02656,0.44619,0.64672,0.57301,0.32321,0.44754,0.42967,0.3317,0.10373,1.62682,8.29267,2.01348,1.23978,0.000675123,0.000675123,0.000675123
13,122.721,1.05296,2.77588,0.90046,0.97826,0.56143,0.82367,0.72924,0.4267,0.53603,0.78358,0.6937,0.22106,1.41498,5.45374,1.22342,1.10855,0.000671588,0.000671588,0.000671588
14,135.638,1.1224,2.7423,0.77297,0.98796,0.54639,0.78416,0.72514,0.42333,0.48818,0.70769,0.61743,0.18837,1.32988,3.70374,2.25367,1.13797,0.000668054,0.000668054,0.000668054
15,144.636,1.10773,2.81591,0.74689,0.97759,0.57076,0.86018,0.78294,0.44936,0.46439,0.66715,0.56627,0.19764,1.3263,3.51507,1.30266,1.06873,0.00066452,0.00066452,0.00066452
16,153.487,1.09332,2.66274,0.69677,0.98509,0.6633,0.84509,0.80303,0.47715,0.60455,0.76076,0.68637,0.23528,1.2891,3.42946,1.05193,1.03132,0.000660986,0.000660986,0.000660986
17,166.405,1.09291,2.73803,0.70938,0.97701,0.70769,0.69223,0.78142,0.44253,0.65678,0.65008,0.68768,0.22924,1.40136,3.1658,1.34717,1.16511,0.000657451,0.000657451,0.000657451
18,175.845,1.06153,2.73722,0.70113,0.97222,0.7423,0.81278,0.84342,0.47259,0.50321,0.71509,0.58544,0.23044,1.18235,3.13522,1.06858,1.01149,0.000653917,0.000653917,0.000653917
19,184.609,1.03949,2.63183,0.66687,0.96724,0.66946,0.88451,0.91761,0.52789,0.52764,0.71095,0.68129,0.26117,1.21779,3.00665,1.01778,1.0136,0.000650383,0.000650383,0.000650383
