epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10160,1.26718,1.04481,1.155,0.76475,0.83104,0.84302,0.53488,1.25989,0.92681,1.14021,0.00132868,0.00132868,0.00132868
43,10408.5,1.25582,1.08318,1.18386,0.77329,0.82985,0.88254,0.5469,1.22567,0.94765,1.13061,0.00132043,0.00132043,0.00132043
44,10684.6,1.24313,1.02321,1.16028,0.72949,0.84425,0.82679,0.54757,1.23994,0.91069,1.15308,0.00131218,0.00131218,0.00131218
45,10898.9,1.23548,1.01823,1.16107,0.7703,0.81197,0.86281,0.558,1.24865,0.88181,1.1598,0.00130393,0.00130393,0.00130393
46,11117.1,1.2593,1.04792,1.1696,0.83292,0.81938,0.90098,0.57883,1.21326,0.83274,1.12879,0.00129568,0.00129568,0.00129568
47,11295.5,1.19405,0.97579,1.13175,0.83846,0.79268,0.86375,0.55152,1.22766,0.86135,1.14865,0.00128742,0.00128742,0.00128742
48,11493.9,1.22673,1.01508,1.15698,0.81691,0.80842,0.88531,0.57538,1.19186,0.8069,1.11827,0.00127917,0.00127917,0.00127917
49,11735.1,1.24952,1.02318,1.16626,0.75239,0.80483,0.80862,0.52587,1.22884,0.96621,1.13778,0.00127092,0.00127092,0.00127092
50,11975.2,1.22636,1.03625,1.16127,0.82227,0.82582,0.89978,0.56454,1.23052,0.85313,1.16279,0.00126267,0.00126267,0.00126267
51,12286.2,1.22237,1.04074,1.17176,0.80834,0.81312,0.89264,0.56127,1.1938,0.8506,1.12101,0.00125442,0.00125442,0.00125442
52,12462.3,1.21395,1.00308,1.17549,0.77537,0.8409,0.87163,0.57779,1.1984,0.83241,1.14002,0.00124617,0.00124617,0.00124617
53,12785.4,1.20507,0.99426,1.14831,0.80809,0.82796,0.87019,0.57204,1.19767,0.87074,1.13871,0.00123791,0.00123791,0.00123791
54,13028.4,1.20429,1.0144,1.16773,0.74381,0.86621,0.87277,0.57314,1.15933,0.85399,1.08587,0.00122966,0.00122966,0.00122966
55,13315.7,1.22248,0.99908,1.14912,0.7657,0.87934,0.88695,0.5803,1.17836,0.84603,1.11077,0.00122141,0.00122141,0.00122141
56,13587.7,1.22726,1.0368,1.15923,0.75895,0.86136,0.86787,0.57543,1.18607,0.84361,1.13107,0.00121316,0.00121316,0.00121316
57,13785.4,1.22515,0.99648,1.1399,0.76613,0.84788,0.85598,0.56055,1.19917,0.8749,1.13816,0.00120491,0.00120491,0.00120491
58,13993.6,1.22956,0.99252,1.12383,0.85042,0.74937,0.84951,0.56072,1.21249,0.92956,1.1176,0.00119666,0.00119666,0.00119666
59,14292.4,1.17567,0.95272,1.12724,0.78996,0.8495,0.89324,0.57108,1.16395,0.84866,1.10299,0.0011884,0.0011884,0.0011884
60,14546.5,1.17565,0.96353,1.14835,0.75634,0.85183,0.85963,0.57062,1.16584,0.84751,1.12836,0.00118015,0.00118015,0.00118015
61,14789.3,1.22075,1.01267,1.17188,0.82849,0.80575,0.85716,0.5652,1.20118,0.85903,1.11429,0.0011719,0.0011719,0.0011719
62,15027.2,1.21922,0.9957,1.14951,0.76905,0.87295,0.87751,0.57928,1.15403,0.81276,1.07718,0.00116365,0.00116365,0.00116365
63,15251.8,1.15785,0.9552,1.11457,0.73824,0.86868,0.85876,0.57249,1.17915,0.86232,1.12311,0.0011554,0.0011554,0.0011554
64,15551.2,1.21066,0.98547,1.15477,0.75362,0.87948,0.87505,0.55449,1.21208,0.86305,1.1596,0.00114715,0.00114715,0.00114715
65,15728.9,1.15094,0.90421,1.13451,0.77562,0.85374,0.87252,0.5824,1.18996,0.82209,1.17108,0.00113889,0.00113889,0.00113889
66,15978.6,1.16898,0.92463,1.10848,0.7396,0.85157,0.84037,0.56284,1.15209,0.87432,1.1632,0.00113064,0.00113064,0.00113064
67,16243,1.17472,0.99714,1.16765,0.76265,0.87776,0.87629,0.57652,1.16107,0.86486,1.13286,0.00112239,0.00112239,0.00112239
68,16474.8,1.14389,0.92651,1.12022,0.77272,0.85364,0.86844,0.57668,1.1768,0.80461,1.13645,0.00111414,0.00111414,0.00111414
69,16724.2,1.17221,0.94275,1.11047,0.75012,0.8388,0.8471,0.56801,1.12459,0.85132,1.09425,0.00110589,0.00110589,0.00110589
70,17021.4,1.15345,0.95312,1.1267,0.77429,0.84833,0.85533,0.5705,1.16459,0.84606,1.11823,0.00109764,0.00109764,0.00109764
71,17339.7,1.13328,0.89532,1.11127,0.72642,0.89399,0.85013,0.56962,1.11574,0.81942,1.08982,0.00108938,0.00108938,0.00108938
72,17617.6,1.15238,0.93513,1.13828,0.75298,0.88413,0.86702,0.58565,1.13811,0.8401,1.12513,0.00108113,0.00108113,0.00108113
73,17855.6,1.18146,0.95138,1.15236,0.74503,0.87072,0.86774,0.58973,1.12155,0.81393,1.11779,0.00107288,0.00107288,0.00107288
